day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,-1.54378448011103E11,-3.347082621347885E10,8335002.8946261015
2,-1.615314349378407E11,-3.8322623221189926E10,8391381.991606737
3,-1.6864927590075885E11,-4.316582807235709E10,8447386.481691482
4,-1.7573531864674744E11,-4.800067121123472E10,8503061.882862523
5,-1.8279246408406152E11,-5.2827424357491974E10,8558446.453722943
6,-1.8982324230942368E11,-5.764638257243131E10,8613572.552754985
7,-1.9682987197395676E11,-6.245785153051503E10,8668467.730089054
8,-2.0381430828526172E11,-6.726213883240226E10,8723155.590649981
9,-2.1077828227115826E11,-7.205954818530244E10,8777656.479435908
10,-2.177233331380614E11,-7.685037559205655E10,8831988.029349726
11,-2.2465083510833954E11,-8.163490694362056E10,8886165.602338433
12,-2.3156201980874228E11,-8.641341659016261E10,8940202.64714732
13,-2.3845799505019684E11,-9.118616659213554E10,8994110.991429128
14,-2.4533976066295172E11,-9.595340644072708E10,9047901.081800567
15,-2.522082219152446E11,-1.0071537309876102E11,9101582.182335576
16,-2.5906420093820175E11,-1.0547229125653612E11,9155162.539648516
17,-2.659084464972097E11,-1.1022437372780539E11,9208649.520949412
18,-2.7274164238512457E11,-1.1497182193293098E11,9262049.730100963
19,-2.7956441466135706E11,-1.1971482643183156E11,9315369.105667211
20,-2.8637733792003784E11,-1.2445356748049419E11,9368613.00413866
21,-2.931809407378134E11,-1.2918821559282889E11,9421786.270891277
22,-2.999757104255706E11,-1.33918932095396E11,9474893.300944697
23,-3.0676209718718243E11,-1.3864586966667E11,9527938.09119671
24,-3.135405177711532E11,-1.4336917285546896E11,9580924.285502953
25,-3.203113586870024E11,-1.4808897857529974E11,9633855.213724717
26,-3.270749790467273E11,-1.5280541657287714E11,9686733.925670445
27,-3.338317130822221E11,-1.5751860987013818E11,9739563.220697273
28,-3.4058187238171436E11,-1.6222867517981253E11,9792345.673609927
29,-3.473257478817951E11,-1.66935723295114E11,9845083.657389179
30,-3.540636116462191E11,-1.716398594544529E11,9897779.363196077
31,-3.6079571845813727E11,-1.763411836822788E11,9950434.818027519
32,-3.675223072486359E11,-1.8103979110728622E11,1.00030519003404E7
